Preferred Prefix	Alt-prefix	Provider Base URI	Alternative Base URI	MIRIAM	BiodbcoreID	BioPortal Ontology ID	identifiers.org	Abbreviation	Title	Description	PubMed ID	Organization	Type (warehouse, dataset or terminology)	Keywords	Homepage	Functional?	sub-namespace in dataset	part of collection	License URL	License Text	Rights	ID regex	ExampleID	Provider HTML URL		MIRIAM checked	MIRIAM curator notes	MIRIAM coverage	updates	year last accessible	wayback url	last updated	last updated by	last updated by (orcid)
amoebadb				MIR:00000148			amoebadb	AmoebaDB	AmoebaDB	AmoebaDB is one of the databases that can be accessed through the EuPathDB (http://EuPathDB.org; formerly ApiDB) portal, covering eukaryotic pathogens of the genera Cryptosporidium, Giardia, Leishmania, Neospora, Plasmodium, Toxoplasma, Trichomonas and Trypanosoma. While each of these groups is supported by a taxon-specific database built upon the same infrastructure, the EuPathDB portal offers an entry point to all these resources, and the opportunity to leverage orthology for searches across genera.	19914931	University of Georgia	dataset	model organism	http://amoebadb.org	yes				no license specified		^EDI_\d+$	EDI_244000	https://amoebadb.org/amoeba/app/record/gene/$id		x						January 19, 2022	Michel Dumontier	0000-0003-4727-9435
ampd								AMPD	Arabidopsis Mitochondrial Protein Database	The Arabidopsis Mitochondrial Protein Database (AMPD) highlights signaling and regulatory components, provides assessment of targeting prediction programs, and indicates plant-specific mitochondrial proteins.	14671022	 University of Western Australia	dataset		http://www.plantenergy.uwa.edu.au/applications/ampdb/index.html	no								N/A			no resolving URL	omitted		2016	https://web.archive.org/web/20160222095516/http://www.plantenergy.uwa.edu.au/applications/ampdb/index.html	January 19, 2022	Michel Dumontier	0000-0003-4727-9435
animalqtldb								Animal QTLdb	Animal Quantitative Trait Locus database	This Animal Quantitative Trait Locus (QTL) database (AnimalQTLdb) is designed to house all publicly available QTL data on livestock animal species for easily locating and making comparisons within and between species. The database tools are also added to link the QTL data to other types of genome information, such as RH maps, physical maps, and human genome maps.	34850103	National Animal Genome Research Program (NAGRP)	dataset	DNA, genome	http://www.animalgenome.org/QTLdb/	yes								N/A			no resolving URL	omitted				January 19, 2022	Michel Dumontier	0000-0003-4727-9435
animaltfdb					biodbcore-000005			AnimalTFDB	A comprehensive animal transcription factor database	AnimalTFDB is a comprehensive database including classification and annotation of genome-wide transcription factors (TFs),  and transcription cofactors in 97 animal genomes. The TFs are further classified into 73 families based on their DNA-binding domain (DBD) and cofactors are classified into 83 families and 6 categories.	30204897	Huazong University of Science and Technology	dataset	transcription factors, gene	http://bioinfo.life.hust.edu.cn/AnimalTFDB/	yes													FOUND IN MIRIAM - not here			January 20, 2022	Michel Dumontier	0000-0003-4727-9435
anobase								AnoBase	AnoBase: the Anopheles Database	AnoBase is a database containing genomic/biological information on anopheline mosquitoes, with an emphasis on Anopheles gambiae, the world's most important malaria vector. 	16313559	Foundation for Research and Technology	dataset	genome	http://www.anobase.org	yes						^\d+$	634	http://www.anobase.org/genetool/v42/gene.php?id=$id				omitted				January 20, 2022	Michel Dumontier	0000-0003-4727-9435
anpd								AtNoPDB	Arabidopsis Nucleolar Protein Database	The Arabidopsis Nucleolar Protein Database provides information on 217 proteins identified in a proteomic analysis of nucleoli isolated from Arabidopsis cell culture.	15608277	Scottish Crop Research Institute	dataset	protein, interaction	https://bioinf.hutton.ac.uk/cgi-bin/atnopdb/home	yes							At1g02140	https://bioinf.hutton.ac.uk/cgi-bin/atnopdb/get-all-data?type=more&value=$id			no resolving URL	omitted				January 20, 2022	Michel Dumontier	0000-0003-4727-9435
antijen								AntiJen	AntiJen: a kinetic, thermodynamic and cellular database v2.0 	AntiJen v2.0, is a database containing quantitative binding data for peptides binding to MHC Ligand, TCR-MHC Complexes, T Cell Epitope, TAP , B Cell Epitope molecules and immunological Protein-Protein interactions.  Most recently, AntiJen has included Peptide Library, Copy Numbers and Diffusion Coefficient data.	16305757	Edward Jenner Institute for Vaccine Research	dataset	protein, interaction	http://www.ddg-pharmfac.net/antijen/AntiJen/antijenhomepage.htm	yes						[A-Z]+	KPVSQMRMATPLLM	http://www.darrenflower.info/scripts/aj_scripts/aj_mhccalc2.pl?epitope=$id&AL=%25&ST=%25&CAT=MHC&detailinfo=no&detailmin=&detailmax=				omitted				January 20, 2022	Michel Dumontier	0000-0003-4727-9435
antweb				MIR:00000146			antweb	AntWeb	AntWeb: Ant of the World	AntWeb is a website documenting the known species of ants, with records for each species linked to their geographical distribution, life history, and includes pictures.	12867945	AntWeb	dataset	classification, anatomy	https://www.antweb.org	yes			http://creativecommons.org/licenses/by-sa/3.0/		attribution, share alike	^casent\d+(\-\w+\d+)?$	casent0106247	http://www.antweb.org/specimen.do?name=$id		x						January 20, 2022	Michel Dumontier	0000-0003-4727-9435
anu2dpage								ANU-2DPAGE	Australian National University 2-DE database	ANU-2DPAGE is a Two-Dimensional Polyacrylamide Gel Electrophoresis Database for Oryza sativa cultivar Doongara and Medicago truncatula.		Australian National University	dataset		http://semele.anu.edu.au	no											no resolving URL	omitted		2008	https://web.archive.org/web/20080718164228/http://semele.anu.edu.au/	January 20, 2022	Michel Dumontier	0000-0003-4727-9435
aobase								AOBase	AOBase: a database for antisense oligonucleotides selection and design	The AOBase contains experimented and published Antisense oligonucleotides (ODNs), both valid and invalid.	16381954	Beijing Institute of Radiation Medicine	dataset		http://www.bioit.org.cn/ao/aobase	no											no resolving URL	omitted		2008	https://web.archive.org/web/20080329081825/http://www.bioit.org.cn/ao/aobase/	January 20, 2022	Michel Dumontier	0000-0003-4727-9435
aogacioah								AGCOH	Atlas of Genetics and Cytogenetics in Oncology and Haematology	The Atlas of Genetics and Cytogenetics in Oncology and Haematology is a peer reviewed on-line journal and database in free access on internet devoted to genes, cytogenetics, and clinical entities in cancer, and cancer-prone diseases.		University Hospital, France	dataset	gene	http://atlasgeneticsoncology.org	yes								http://atlasgeneticsoncology.org/Genes/$id.html				curation				January 20, 2022	Michel Dumontier	0000-0003-4727-9435
apd				MIR:00000278			apd	APD	Antimicrobial Peptide Database	The Antimicrobial Peptide Database (APD) contains data from the Protein Data Bank (PDB), Swiss-Prot Protein Knowledgebase and PubMed National Library of Medicine. The antimicrobial peptides in this database contain less than 100 amino acid residues, are in the mature and active form, and primarily from natural sources, ranging from bacteria, fungi, plants, to animals.	26602694	University of Nebraska Medical Center	dataset	protein	http://aps.unmc.edu/AP/	no						^\d+$	1228	http://aps.unmc.edu/AP/database/query_output.php?ID=$id		x				2020	https://web.archive.org/web/20200809202459/http://aps.unmc.edu/AP/main.php	January 20, 2022	Michel Dumontier	0000-0003-4727-9435
aphidbase				MIR:00000393			aphidbase.transcript	AphidBase	Aphidbase: an aphid genomics database	The Aphid Genome Database's aim is to improve the current pea aphid genome assembly and annotation, and to provide new aphid genome sequences as well as tools for analysis of these genomes.	20482635	INRA	dataset	genome	http://www.aphidbase.com	yes						ACYPI\d+	ACYPI003698-RA					present as MIR:00000393 (transcript)				January 20, 2022	Michel Dumontier	0000-0003-4727-9435
apid								APID	Agile Protein Interaction Data Analyzer	APID (Agile Protein Interaction DataAnalyzer) is an interactive bioinformatic web-tool that has been developed to allow exploration and analysis of main currently known information about protein-protein interactions integrated and unified in a common and comparative platform.	17644818	Bioinformatics and Functional Genomics Research Group, Spain	dataset	protein, interaction	http://cicblade.dep.usal.es:8080/APID/init.action	yes							P01116	http://cicblade.dep.usal.es:8080/APID/Interactions.action?protein=$id			no resolving URL	omitted				January 20, 2022	Michel Dumontier	0000-0003-4727-9435
apidots								ApiDots	ApiDots	ApiDots is a database integrating mRNA/EST sequences from numerous Apicomplexan parasites. ESTs and mRNAs were clustered and further assembled to generate consensus sequences. These consensus sequences were then subjected to database searches against protein sequences and protein domain sequences.	12618375	University of Pennsylvania	dataset		http://www.cbil.upenn.edu/apidots/	yes											no resolving URL	omitted				January 20, 2022	Michel Dumontier	0000-0003-4727-9435
apo	ypo	http://purl.obolibrary.org/obo/APO_	http://purl.obofoundry.org/apo/, http://purl.obolibrary.org/apo/, http://purl.org/obo/owl/APO#, http://identifiers.org/obo.apo/			1222		APO	Ascomycete phenotype ontology	A structured controlled vocabulary for the phenotypes of Ascomycete fungi	22110037	Stanford University 	terminology	obo, yeast, phenotype	http://www.yeastgenome.org	yes											no resolving URL	omitted				January 20, 2022	Michel Dumontier	0000-0003-4727-9435
apollo.sv	apollo		http://purl.obolibrary.org/obo/			1534		apollo	Apollo Structured Vocabulary for public health models	A controlled vocabulary for public health models	27538448	University of Florida	terminology	obo	http://code.google.com/p/apollo/	yes			http://www.apache.org/licenses/LICENSE-2.0		include license		APOLLO_SV_00000006				no resolving URL	omitted				January 20, 2022	Michel Dumontier	0000-0003-4727-9435
appadb									AppaDB: an AcedB database for the nematode satellite organism Pristionchus pacificus	AppaDB, a P.pacificus database, aims to integrate the genomic data of P.pacificus, comprising the physical map, genetic linkage map, EST and BAC end sequence and hybridization data. This developing database serves as a repository to search and find any information regarding physical contigs or genetic markers required for mapping of mutants. Additionally, it provides a platform for the Caenorhabditis elegans community to compare nematode genetic data in an evolutionary perspective.	14681447	Max-Planck Institut für Entwicklungsbiologie	dataset		http://appadb.eb.tuebingen.mpg.de	no											no resolving URL	omitted		2005	https://web.archive.org/web/20050404135921/http://appadb.eb.tuebingen.mpg.de/	January 20, 2022	Michel Dumontier	0000-0003-4727-9435
aptamerdb									The Aptamer Database	The Aptamer Database is a comprehensive, annotated repository for information about aptamers and in vitro selection. This resource is provided to collect, organize and distribute all the known information regarding aptamer selection.	14681367	University of Texas	dataset	protein	http://aptamer.icmb.utexas.edu	no								N/A			no resolving URL	omitted		2014	https://web.archive.org/web/20140223025356/http://aptamer.icmb.utexas.edu/	January 20, 2022	Michel Dumontier	0000-0003-4727-9435
arabidopsis_mpss								Arabidopsis MPSS	Arabidopsis MPSS	MPSS is a rapid method to produce 17 base pair sequence tags that represent the population of messenger RNAs in a given tissue. Within the database there are numerous libraries that represent different plant tissues (leaf, stem, root, etc.), different plant treatments (pathogen or abiotic stresses, etc.), and mutant variants of the plant; each library contains more than a million tags	16141074	Delaware Biotech Institute	dataset	DNA, RNA, anatomy	http://mpss.udel.edu/at/mpss_index.php	no								N/A			no resolving URL	omitted		2013	https://web.archive.org/web/20130606151256/http://mpss.udel.edu/at/mpss_index.php	January 20, 2022	Michel Dumontier	0000-0003-4727-9435
arabidopsis_reactome								Arabidopsis Reactome	A curated knowledgebase of plant biological pathways	Arabidopsis Reactome consists of curated and imported pathways that covers ∼8% of the Arabidopsis proteome. Arabidopsis Reactome events have also been electronically projected onto five other predicted plant proteomes.	18591350	John Innes Centre	dataset	pathway	http://www.arabidopsisreactome.org	no							64528	http://arabidopsisreactome.org/cgi-bin/eventbrowser?DB=atreactome_ortho_ath_all&ID=$id			no resolving URL	omitted		2015	https://web.archive.org/web/20150325001834/http://www.arabidopsisreactome.org/	January 20, 2022	Michel Dumontier	0000-0003-4727-9435
